Id	Hebrew	Url	Transliteration	Root	Root Url	POS	POS Pattern	POS Pattern Url	Gender	Translation
0	אֲבִיבִי	https://www.pealim.com/dict/9098-avivi/	avivi	א - ב - ב	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ב	Adjective				spring-like, vernal
1	אֵב	https://www.pealim.com/dict/4216-ev/	ev	א - ב - ב	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ב	Noun	ketel pattern	https://www.pealim.com/dict/?pos=noun&nm=qetel	masculine	bud, shoot (of a plant) (lit.)
2	אָבִיב	https://www.pealim.com/dict/4084-aviv/	aviv	א - ב - ב	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ב	Noun	katil pattern	https://www.pealim.com/dict/?pos=noun&nm=qatil	masculine	spring (season)
3	אֲבֵידָה	https://www.pealim.com/dict/8743-aveda/	aveda	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Noun	ktela pattern	https://www.pealim.com/dict/?pos=noun&nm=qtela	feminine	loss; (in plural) casualties, losses
4	לֶאֱבוֹד	https://www.pealim.com/dict/56-leevod/	le'evod	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Verb	pa'al			to be lost, to stray, to perish
5	לְהֵיאָבֵד	https://www.pealim.com/dict/57-leheaved/	lehe'aved	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Verb	nif'al			to be lost, to perish
6	לְהִתְאַבֵּד	https://www.pealim.com/dict/59-lehitabed/	lehit'abed	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Verb	hitpa'el			to commit suicide
7	אִיבּוּד	https://www.pealim.com/dict/3636-ibud/	ibud	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Noun	kittul pattern	https://www.pealim.com/dict/?pos=noun&nm=qittul	masculine	loss, disappearance
8	הִתְאַבְּדוּת	https://www.pealim.com/dict/3006-hitabdut/	hit'abdut	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Noun	hitkattlut pattern	https://www.pealim.com/dict/?pos=noun&nm=hitqatlut	feminine	suicide
9	לְהַאֲבִיד	https://www.pealim.com/dict/6074-lehaavid/	leha'avid	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Verb	hif'il			to destroy, to demolish, to cause utter loss
10	אֲבֵדָה	https://www.pealim.com/dict/3637-aveda/	aveda	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Noun	ktela pattern	https://www.pealim.com/dict/?pos=noun&nm=qtela	feminine	loss
11	אָבוּד	https://www.pealim.com/dict/3638-avud/	avud	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Adjective	katul pattern	https://www.pealim.com/dict/?pos=adjective&am=qatul		lost; hopeless
12	לְאַבֵּד	https://www.pealim.com/dict/58-leabed/	le'abed	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Verb	pi'el			to lose, to destroy
13	אֲבַדּוֹן	https://www.pealim.com/dict/7199-avadon/	avadon	א - ב - ד	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ד	Noun				destruction, devastation
14	לֶאֱבוֹת	https://www.pealim.com/dict/3849-leevot/	le'evot	א - ב - ה	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=י	Verb	pa'al			to desire, to want (archaic)
15	לֶאֱבוֹת	https://www.pealim.com/dict/3849-leevot/	le'evot	א - ב - ה	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=י	Verb	pa'al			to desire, to want (archaic)
16	אוֹבֶךְ	https://www.pealim.com/dict/8521-ovech/	ovech	א - ב - ך	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=כ	Noun	kotel pattern	https://www.pealim.com/dict/?pos=noun&nm=qotel-s	masculine	haze, haziness
17	אֵבֶל	https://www.pealim.com/dict/3195-evel/	evel	א - ב - ל	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ל	Noun	ketel pattern	https://www.pealim.com/dict/?pos=noun&nm=qetel	masculine	mourning
18	לֶאֱבוֹל	https://www.pealim.com/dict/3967-leevol/	le'evol	א - ב - ל	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ל	Verb	pa'al			to grieve, to mourn (על) (lit.)
19	לְהִתְאַבֵּל	https://www.pealim.com/dict/62-lehitabel/	lehit'abel	א - ב - ל	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ל	Verb	hitpa'el			to mourn, to grieve (על)
20	לְהִתְאַבֵּן	https://www.pealim.com/dict/63-lehitaben/	lehit'aben	א - ב - ן	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=נ	Verb	hitpa'el			to turn into stone
21	אֶבֶן	https://www.pealim.com/dict/6055-even/	even	א - ב - ן	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=נ	Noun	ketel pattern	https://www.pealim.com/dict/?pos=noun&nm=qetel	feminine	stone
22	מְאוּבָּן	https://www.pealim.com/dict/8449-meuban/	me'uban	א - ב - ן	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=נ	Noun	mekuttal pattern	https://www.pealim.com/dict/?pos=noun&nm=mequttal	masculine	fossil
23	לְאַבֵּן	https://www.pealim.com/dict/7606-leaben/	le'aben	א - ב - ן	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=נ	Verb	pi'el			to petrify, to turn to stone; to immobilize, to stun
24	לְהַאֲבִיס	https://www.pealim.com/dict/5476-lehaavis/	leha'avis	א - ב - ס	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ס	Verb	hif'il			to feed (livestock)
25	הַאֲבָסָה	https://www.pealim.com/dict/8217-haavasa/	ha'avasa	א - ב - ס	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ס	Noun	haktala pattern	https://www.pealim.com/dict/?pos=noun&nm=haqtala	feminine	feeding (animals)
26	לְהֵיאָבֵק	https://www.pealim.com/dict/64-leheavek/	lehe'avek	א - ב - ק	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ק	Verb	nif'al			to struggle, to wrestle
27	אִיבּוּק	https://www.pealim.com/dict/4738-ibuk/	ibuk	א - ב - ק	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ק	Noun	kittul pattern	https://www.pealim.com/dict/?pos=noun&nm=qittul	masculine	֔powdering; dusting
28	מַאֲבָק	https://www.pealim.com/dict/5458-maavak/	ma'avak	א - ב - ק	https://www.pealim.com/dict/?num-radicals=3&r1=א&r2=ב&rf=ק	Noun	miktal pattern	https://www.pealim.com/dict/?pos=noun&nm=miqtal	masculine	strife, struggle, fight
